NC_060925.1	31283980	31289470	2	5490
NC_060925.1	110130430	110135794	2	5364
NC_060925.1	31284113	31289453	3	5340
NC_060925.1	31283991	31289457	-1	5466
NC_060925.1	2194196	2200379	-2	6183
NC_060925.1	31283716	31289560	-3	5844

NC_060926.1	201153	207540	1	6387
NC_060926.1	201109	207667	2	6558
NC_060926.1	242515684	242521150	2	5466
NC_060926.1	202469	207686	3	5217
NC_060926.1	242515876	242520997	-1	5121
NC_060926.1	200980	207685	-1	6705
NC_060926.1	242515959	242521185	-2	5226
NC_060926.1	201123	207753	-2	6630
NC_060926.1	242515871	242521001	-3	5130
NC_060926.1	87368150	87373736	-3	5586
NC_060926.1	201161	207728	-3	6567

NC_060927.1	199530585	199537254	1	6669
NC_060927.1	199530610	199537132	2	6522
NC_060927.1	199530596	199537127	3	6531

NC_060928.1	7835832	7842624	1	6792
NC_060928.1	40264149	40269732	1	5583
NC_060928.1	40264093	40269565	2	5472
NC_060928.1	169929235	169935583	2	6348
NC_060928.1	40264043	40269398	3	5355
NC_060928.1	192585953	192591416	-1	5463
NC_060928.1	169925786	169936622	-1	10836
NC_060928.1	169925808	169937574	-3	11766

NC_060930.1	168126855	168132705	1	5850
NC_060930.1	65442955	65449012	2	6057
NC_060930.1	168126778	168132607	2	5829
NC_060930.1	168126875	168132740	3	5865
NC_060930.1	171253508	171258662	-1	5154
NC_060930.1	65442883	65449135	-2	6252
NC_060930.1	65442954	65448960	-3	6006



